sample,assay,total_seconds,success_count,frame_count,prop_success
20190616_1256_icab_kaga_L_q1,open_field,600,17754,18000,0.9863333333333333
20190616_1506_icab_hni_L_q3,novel_object,600,17756,18000,0.9864444444444445
20190611_1331_icab_icab_R_q2,novel_object,600,17757,18000,0.9865
20190615_1358_icab_icab_L_q2,open_field,600,17757,18000,0.9865
20190616_1717_icab_icab_L_q1,novel_object,600,17763,18000,0.9868333333333333
20190616_1717_icab_icab_L_q2,open_field,600,17766,18000,0.987
20190613_1617_icab_ho5_L_q4,novel_object,600,17767,18000,0.9870555555555556
20190615_1145_icab_hni_R_q1,open_field,600,17768,18000,0.9871111111111112
20190616_1325_icab_hni_R_q3,novel_object,600,17774,18000,0.9874444444444445
20190613_1024_icab_hni_R_q2,novel_object,600,17776,18000,0.9875555555555555
20190616_1325_icab_hni_R_q3,open_field,600,17779,18000,0.9877222222222222
20190615_1616_icab_hni_L_q1,novel_object,600,17781,18000,0.9878333333333333
20190615_1616_icab_hni_L_q2,open_field,600,17782,18000,0.9878888888888889
20190615_1210_icab_ho5_R_q4,novel_object,600,17788,18000,0.9882222222222222
20190614_1139_icab_hni_R_q1,novel_object,600,17789,18000,0.9882777777777778
20190616_1417_icab_hni_L_q1,open_field,600,17794,18000,0.9885555555555555
20190614_1456_icab_ho5_R_q1,novel_object,600,17796,18000,0.9886666666666667
20190616_1622_icab_ho5_L_q3,open_field,600,17797,18000,0.9887222222222222
20190616_1651_icab_icab_L_q1,novel_object,600,17798,18000,0.9887777777777778
20190614_1139_icab_hni_R_q3,novel_object,600,17799,18000,0.9888333333333333
20190616_1017_icab_kaga_R_q1,novel_object,600,17799,18000,0.9888333333333333
20190612_1053_icab_kaga_R_q4,novel_object,600,17801,18000,0.9889444444444444
20190616_1045_icab_icab_L_q4,open_field,600,17806,18000,0.9892222222222222
20190616_1717_icab_icab_L_q2,novel_object,600,17808,18000,0.9893333333333333
20190613_1054_icab_hdr_R_q4,open_field,600,17811,18000,0.9895
20190616_1325_icab_hni_R_q2,open_field,600,17813,18000,0.9896111111111111
