assay,sample,quadrant,wid,hei,n_frames
novel_object,20190616_1651_icab_icab_L,q2,352,354,18000
novel_object,20190616_1651_icab_icab_L,q3,352,350,18000
novel_object,20190616_1651_icab_icab_L,q4,354,350,18000
novel_object,20190616_1717_icab_icab_L,q1,356,358,18000
novel_object,20190616_1717_icab_icab_L,q2,350,358,18000
novel_object,20190616_1717_icab_icab_L,q3,350,346,18000
novel_object,20190616_1717_icab_icab_L,q4,356,346,18000
open_field,20190611_1331_icab_icab_R,q1,348,350,18000
open_field,20190611_1331_icab_icab_R,q2,358,350,18000
open_field,20190611_1331_icab_icab_R,q3,358,354,18000
open_field,20190611_1331_icab_icab_R,q4,348,354,18000
open_field,20190611_1410_icab_kaga_R,q1,346,342,18000
open_field,20190611_1410_icab_kaga_R,q2,360,342,18000
open_field,20190611_1410_icab_kaga_R,q3,360,362,18000
open_field,20190611_1410_icab_kaga_R,q4,346,362,18000
open_field,20190611_1454_icab_hni_R,q1,344,352,18000
open_field,20190611_1454_icab_hni_R,q2,362,352,18000
open_field,20190611_1454_icab_hni_R,q3,362,352,18000
open_field,20190611_1454_icab_hni_R,q4,344,352,18000
open_field,20190611_1552_icab_hni_R,q1,346,354,18000
open_field,20190611_1552_icab_hni_R,q2,360,354,18000
open_field,20190611_1552_icab_hni_R,q3,360,350,18000
open_field,20190611_1552_icab_hni_R,q4,346,350,18000
open_field,20190611_1628_icab_hdr_R,q1,346,352,18000
open_field,20190611_1628_icab_hdr_R,q2,360,352,18000
open_field,20190611_1628_icab_hdr_R,q3,360,352,18000
open_field,20190611_1628_icab_hdr_R,q4,346,352,18000
open_field,20190611_1658_icab_ho5_R,q1,352,348,18000
open_field,20190611_1658_icab_ho5_R,q2,354,348,18000
open_field,20190611_1658_icab_ho5_R,q3,354,356,18000
open_field,20190611_1658_icab_ho5_R,q4,352,356,18000
open_field,20190612_0952_icab_icab_R,q1,348,348,18000
open_field,20190612_0952_icab_icab_R,q2,358,348,18000
open_field,20190612_0952_icab_icab_R,q3,358,356,18000
open_field,20190612_0952_icab_icab_R,q4,348,356,18000
open_field,20190612_1053_icab_kaga_R,q1,348,348,18000
open_field,20190612_1053_icab_kaga_R,q2,358,348,18000
open_field,20190612_1053_icab_kaga_R,q3,358,356,18000
open_field,20190612_1053_icab_kaga_R,q4,348,356,18000
open_field,20190612_1123_icab_hni_R,q1,346,348,18000
open_field,20190612_1123_icab_hni_R,q2,360,348,18000
open_field,20190612_1123_icab_hni_R,q3,360,356,18000
open_field,20190612_1123_icab_hni_R,q4,346,356,18000
open_field,20190612_1236_icab_kaga_R,q1,348,346,17604
open_field,20190612_1236_icab_kaga_R,q2,358,346,17604
open_field,20190612_1236_icab_kaga_R,q3,358,358,17604
open_field,20190612_1236_icab_kaga_R,q4,348,358,17604
open_field,20190612_1326_icab_kaga_R,q1,352,348,17400
open_field,20190612_1326_icab_kaga_R,q2,354,348,17400
open_field,20190612_1326_icab_kaga_R,q3,354,356,17400
open_field,20190612_1326_icab_kaga_R,q4,352,356,17400
open_field,20190612_1355_icab_ho5_R,q1,344,362,18000
open_field,20190612_1355_icab_ho5_R,q2,362,362,18000
open_field,20190612_1355_icab_ho5_R,q3,362,342,18000
open_field,20190612_1355_icab_ho5_R,q4,344,342,18000
open_field,20190612_1425_icab_kaga_R,q1,344,356,17688
open_field,20190612_1425_icab_kaga_R,q2,362,356,17688
open_field,20190612_1425_icab_kaga_R,q3,362,348,17688
open_field,20190612_1425_icab_kaga_R,q4,344,348,17688
open_field,20190612_1501_icab_icab_R,q1,344,352,18000
open_field,20190612_1501_icab_icab_R,q2,362,352,18000
open_field,20190612_1501_icab_icab_R,q3,362,352,18000
open_field,20190612_1501_icab_icab_R,q4,344,352,18000
open_field,20190612_1534_icab_hdr_R,q1,344,352,18000
open_field,20190612_1534_icab_hdr_R,q2,362,352,18000
open_field,20190612_1534_icab_hdr_R,q3,362,352,18000
open_field,20190612_1534_icab_hdr_R,q4,344,352,18000
open_field,20190612_1604_icab_hni_R,q1,346,358,18000
open_field,20190612_1604_icab_hni_R,q2,360,358,18000
open_field,20190612_1604_icab_hni_R,q3,360,346,18000
open_field,20190612_1604_icab_hni_R,q4,346,346,18000
open_field,20190612_1636_icab_icab_R,q1,342,358,18000
